TRIAL,TEXT,Nrate,GY
39,clay,0,3.7
39,clay,36,5.057
39,clay,62,5.392
39,clay,89,7.774
39,clay,116,8.765
39,clay,143,9.899
39,clay,170,10.426
39,clay,178,10.789
39,clay,196,10.506
3,loamy_sand,0,9.088
3,loamy_sand,84,11.854
3,loamy_sand,140,12.826
3,loamy_sand,196,13.15
3,loamy_sand,280,13.086
5,loamy_sand,0,12.172
5,loamy_sand,125,12.716
5,loamy_sand,181,12.988
5,loamy_sand,237,13.637
5,loamy_sand,321,14.523
10,loamy_sand,0,13.809
10,loamy_sand,140,14.78
10,loamy_sand,196,15.366
10,loamy_sand,252,14.743
10,loamy_sand,336,15.036
21,loamy_sand,0,8.805
21,loamy_sand,112,14.575
21,loamy_sand,168,15.8
21,loamy_sand,224,15.667
21,loamy_sand,336,15.454
26,loamy_sand,0,9.984
26,loamy_sand,56,10.757
26,loamy_sand,112,10.803
26,loamy_sand,168,11.98
26,loamy_sand,280,12.232
33,loamy_sand,0,10.686
33,loamy_sand,112,13.589
33,loamy_sand,168,13.867
33,loamy_sand,224,13.966
33,loamy_sand,336,14.168
41,loamy_sand,0,3.153
41,loamy_sand,27,4.283
41,loamy_sand,54,7.126
41,loamy_sand,80,6.697
41,loamy_sand,107,8.044
41,loamy_sand,134,5.974
41,loamy_sand,161,9.601
41,loamy_sand,187,7.466
41,loamy_sand,214,5.906
12,sandy_loam,0,15.486
12,sandy_loam,140,15.214
12,sandy_loam,196,15.572
12,sandy_loam,252,14.844
12,sandy_loam,336,15.004
17,sandy_loam,118,15.168
17,sandy_loam,162,15.25
17,sandy_loam,207,16.127
17,sandy_loam,263,16.527
17,sandy_loam,375,16.803
23,sandy_loam,0,11.911
23,sandy_loam,112,13.95
23,sandy_loam,168,15.54
23,sandy_loam,224,14.671
23,sandy_loam,336,15.025
32,sandy_loam,0,5.638
32,sandy_loam,112,10.356
32,sandy_loam,168,12.135
32,sandy_loam,224,12.043
32,sandy_loam,336,11.803
34,sandy_loam,0,12.176
34,sandy_loam,112,12.962
34,sandy_loam,168,12.858
34,sandy_loam,224,13.311
34,sandy_loam,336,12.947
4,silt_loam,0,9.742
4,silt_loam,84,11.287
4,silt_loam,140,11.037
4,silt_loam,196,10.963
4,silt_loam,280,11.473
6,silt_loam,0,10.969
6,silt_loam,140,12.75
6,silt_loam,196,12.845
6,silt_loam,252,12.563
6,silt_loam,336,13.638
7,silt_loam,0,6.989
7,silt_loam,140,13.855
7,silt_loam,196,14.322
7,silt_loam,252,14.6
7,silt_loam,336,15.021
8,silt_loam,0,11.714
8,silt_loam,84,15.439
8,silt_loam,140,15.99
8,silt_loam,196,16.288
8,silt_loam,280,16.161
9,silt_loam,0,8.674
9,silt_loam,140,13.8
9,silt_loam,196,13.952
9,silt_loam,252,14.624
9,silt_loam,336,15.19
11,silt_loam,0,12.091
11,silt_loam,140,13.372
11,silt_loam,196,12.806
11,silt_loam,252,13.392
11,silt_loam,336,12.932
13,silt_loam,0,8.865
13,silt_loam,56,13.204
13,silt_loam,112,13.898
13,silt_loam,168,15.02
13,silt_loam,280,14.315
15,silt_loam,0,10.598
15,silt_loam,56,13.582
15,silt_loam,112,15.217
15,silt_loam,168,15.522
15,silt_loam,280,16.226
16,silt_loam,0,12.654
16,silt_loam,56,12.47
16,silt_loam,112,14.031
16,silt_loam,168,14.148
16,silt_loam,280,14.404
18,silt_loam,0,8.643
18,silt_loam,112,16.795
18,silt_loam,168,17.095
18,silt_loam,224,16.844
18,silt_loam,336,16.46
19,silt_loam,0,11.668
19,silt_loam,56,14.945
19,silt_loam,112,16.03
19,silt_loam,168,16.481
19,silt_loam,280,16.749
20,silt_loam,0,8.789
20,silt_loam,112,12.176
20,silt_loam,168,13.843
20,silt_loam,224,14.267
20,silt_loam,336,14.229
22,silt_loam,0,11.519
22,silt_loam,112,12.891
22,silt_loam,168,13.685
22,silt_loam,224,14.699
22,silt_loam,336,14.231
27,silt_loam,0,12.134
27,silt_loam,56,14.12
27,silt_loam,112,15.343
27,silt_loam,168,14.472
27,silt_loam,280,14.724
29,silt_loam,0,10.49
29,silt_loam,112,14.123
29,silt_loam,168,15.103
29,silt_loam,224,16.269
29,silt_loam,336,16.749
30,silt_loam,0,10.507
30,silt_loam,112,15.153
30,silt_loam,168,15.975
30,silt_loam,224,15.889
30,silt_loam,336,16.13
31,silt_loam,0,10.33
31,silt_loam,56,12.826
31,silt_loam,112,15.628
31,silt_loam,168,15.107
31,silt_loam,280,15.584
35,silt_loam,0,4.914
35,silt_loam,36,6.474
35,silt_loam,62,8.585
35,silt_loam,89,9.249
35,silt_loam,116,11.349
35,silt_loam,143,10.604
35,silt_loam,170,11.124
35,silt_loam,178,11.042
35,silt_loam,196,11.62
36,silt_loam,0,6.917
36,silt_loam,36,9.814
36,silt_loam,62,12.262
36,silt_loam,89,12.931
36,silt_loam,116,13.794
36,silt_loam,143,13.936
36,silt_loam,170,13.825
36,silt_loam,178,15.166
36,silt_loam,196,14.794
37,silt_loam,0,5.997
37,silt_loam,36,7.289
37,silt_loam,62,8.461
37,silt_loam,89,9.488
37,silt_loam,116,10.427
37,silt_loam,143,10.953
37,silt_loam,170,11.235
37,silt_loam,178,10.308
37,silt_loam,196,9.824
38,silt_loam,0,3.512
38,silt_loam,36,4.297
38,silt_loam,62,6.232
38,silt_loam,89,6.875
38,silt_loam,116,8.224
38,silt_loam,143,10.241
38,silt_loam,170,10.382
38,silt_loam,178,8.971
38,silt_loam,196,11.801
40,silt_loam,0,7.399
40,silt_loam,36,8.974
40,silt_loam,62,11.699
40,silt_loam,89,13.124
40,silt_loam,116,13.434
40,silt_loam,143,13.51
40,silt_loam,170,13.048
40,silt_loam,196,13.68
40,silt_loam,196,12.713
42,silt_loam,0,13.277
42,silt_loam,36,13.789
42,silt_loam,62,13.97
42,silt_loam,89,14.132
42,silt_loam,116,15.308
42,silt_loam,143,14.516
42,silt_loam,170,14.994
42,silt_loam,196,14.676
42,silt_loam,196,15.639
44,silt_loam,0,8.493
44,silt_loam,27,9.767
44,silt_loam,54,10.956
44,silt_loam,80,12.82
44,silt_loam,107,12.639
44,silt_loam,134,12.576
44,silt_loam,161,13.265
44,silt_loam,187,12.173
44,silt_loam,214,12.516
45,silt_loam,0,4.937
45,silt_loam,36,6.377
45,silt_loam,62,6.748
45,silt_loam,89,7.248
45,silt_loam,116,6.807
45,silt_loam,143,7.059
45,silt_loam,170,6.515
45,silt_loam,196,6.788
45,silt_loam,196,6.572
47,silt_loam,0,5.863
47,silt_loam,27,7.027
47,silt_loam,54,7.901
47,silt_loam,80,8.306
47,silt_loam,107,8.214
47,silt_loam,134,8.608
47,silt_loam,161,9.448
47,silt_loam,187,8.935
47,silt_loam,214,8.725
48,silt_loam,0,6.249
48,silt_loam,36,8.917
48,silt_loam,62,9.826
48,silt_loam,89,10.692
48,silt_loam,116,10.715
48,silt_loam,143,10.913
48,silt_loam,170,11.591
48,silt_loam,178,12.435
48,silt_loam,196,12.728
50,silt_loam,0,10.107
50,silt_loam,36,12.834
50,silt_loam,62,15.272
50,silt_loam,89,12.78
50,silt_loam,116,13.851
50,silt_loam,143,13.528
50,silt_loam,170,15.133
50,silt_loam,178,14.418
50,silt_loam,196,14.63
51,silt_loam,0,10.107
51,silt_loam,36,12.834
51,silt_loam,62,13.992
51,silt_loam,89,13.669
51,silt_loam,116,14.937
51,silt_loam,143,14.44
51,silt_loam,170,14.701
51,silt_loam,178,14.418
51,silt_loam,196,14.249
52,silt_loam,0,4.157
52,silt_loam,36,5.037
52,silt_loam,62,5.529
52,silt_loam,89,4.869
52,silt_loam,116,5.815
52,silt_loam,143,6.28
52,silt_loam,170,6.866
52,silt_loam,178,6.71
52,silt_loam,196,6.729
53,silt_loam,0,4.157
53,silt_loam,36,5.037
53,silt_loam,62,5.989
53,silt_loam,89,5.443
53,silt_loam,116,5.637
53,silt_loam,143,6.434
53,silt_loam,170,6.5
53,silt_loam,178,6.71
53,silt_loam,196,6.599
56,silt_loam,0,10.334
56,silt_loam,36,12.577
56,silt_loam,62,11.779
56,silt_loam,89,11.005
56,silt_loam,116,13.25
56,silt_loam,143,12.717
56,silt_loam,170,13.81
56,silt_loam,178,11.483
56,silt_loam,196,10.858
57,silt_loam,0,10.334
57,silt_loam,36,12.577
57,silt_loam,62,13.512
57,silt_loam,89,10.662
57,silt_loam,116,13.015
57,silt_loam,143,12.64
57,silt_loam,170,10.02
57,silt_loam,178,11.483
57,silt_loam,196,14.265
58,silt_loam,0,5.245
58,silt_loam,36,6.935
58,silt_loam,62,9.833
58,silt_loam,89,10.225
58,silt_loam,116,11.199
58,silt_loam,143,12.046
58,silt_loam,170,12.638
58,silt_loam,178,13.112
58,silt_loam,196,13.203
59,silt_loam,0,5.245
59,silt_loam,36,6.935
59,silt_loam,62,9.963
59,silt_loam,89,9.814
59,silt_loam,116,11.353
59,silt_loam,143,11.214
59,silt_loam,170,12.468
59,silt_loam,178,13.112
59,silt_loam,196,11.402
60,silt_loam,0,5.799
60,silt_loam,36,7.977
60,silt_loam,62,9.405
60,silt_loam,89,11.738
60,silt_loam,116,11.851
60,silt_loam,143,11.248
60,silt_loam,170,12.246
60,silt_loam,178,12.697
60,silt_loam,196,11.18
1,silty_clay,0,13.317
1,silty_clay,84,14.434
1,silty_clay,140,15.267
1,silty_clay,196,15.405
1,silty_clay,280,15.496
2,silty_clay,0,6.604
2,silty_clay,84,10.691
2,silty_clay,140,11.122
2,silty_clay,196,11.246
2,silty_clay,280,11.722
14,silty_clay,0,7.903
14,silty_clay,56,12.177
14,silty_clay,112,13.397
14,silty_clay,168,13.606
14,silty_clay,280,13.671
24,silty_clay,0,9.71
24,silty_clay,56,13.423
24,silty_clay,112,14.503
24,silty_clay,168,15.635
24,silty_clay,280,14.917
25,silty_clay,0,10.73
25,silty_clay,56,12.245
25,silty_clay,112,15.393
25,silty_clay,168,15.706
25,silty_clay,280,15.709
28,silty_clay,0,11.445
28,silty_clay,56,13.589
28,silty_clay,112,13.434
28,silty_clay,168,13.652
28,silty_clay,280,14.298
43,silty_clay,0,8.337
43,silty_clay,36,9.29
43,silty_clay,62,9.019
43,silty_clay,89,8.709
43,silty_clay,116,9.107
43,silty_clay,143,8.865
43,silty_clay,170,9.632
43,silty_clay,196,8.552
43,silty_clay,196,8.087
46,silty_clay,0,5.273
46,silty_clay,36,7.373
46,silty_clay,62,8.982
46,silty_clay,89,9.506
46,silty_clay,116,11.156
46,silty_clay,143,10.42
46,silty_clay,170,11.381
46,silty_clay,196,12.444
46,silty_clay,196,11.668
49,silty_clay_loam,0,3.765
49,silty_clay_loam,36,5.197
49,silty_clay_loam,62,7.446
49,silty_clay_loam,89,8.668
49,silty_clay_loam,116,9.846
49,silty_clay_loam,143,11.693
49,silty_clay_loam,170,12.079
49,silty_clay_loam,178,10.993
49,silty_clay_loam,196,12.281
54,silty_clay_loam,0,8.14
54,silty_clay_loam,36,9.076
54,silty_clay_loam,62,9.655
54,silty_clay_loam,89,10.629
54,silty_clay_loam,116,10.473
54,silty_clay_loam,143,10.545
54,silty_clay_loam,170,10.995
54,silty_clay_loam,178,10.973
54,silty_clay_loam,196,11.139
55,silty_clay_loam,0,8.14
55,silty_clay_loam,36,9.076
55,silty_clay_loam,62,9.977
55,silty_clay_loam,89,10.279
55,silty_clay_loam,116,10.208
55,silty_clay_loam,143,10.497
55,silty_clay_loam,170,10.703
55,silty_clay_loam,178,10.973
55,silty_clay_loam,196,10.427
