,TRIAL,STx,Nrate,GY
0,1,silty clay loam,0.0,13.317
1,1,silty clay loam,84.0,14.434000000000001
2,1,silty clay loam,140.0,15.267000000000001
3,1,silty clay loam,196.0,15.405
4,1,silty clay loam,280.0,15.495999999999999
5,4,silt loam,0.0,9.742
6,4,silt loam,84.0,11.287
7,4,silt loam,140.0,11.037
8,4,silt loam,196.0,10.963
9,4,silt loam,280.0,11.472999999999999
10,5,silt loam,0.0,10.969000000000001
11,5,silt loam,140.0,12.75
12,5,silt loam,196.0,12.845
13,5,silt loam,252.0,12.562999999999999
14,5,silt loam,336.0,13.638
15,13,silty clay,0.0,7.903
16,13,silty clay,56.0,12.177
17,13,silty clay,112.0,13.397
18,13,silty clay,168.0,13.606
19,13,silty clay,280.0,13.671
20,29,silt loam,0.0,10.33
21,29,silt loam,56.0,12.825999999999999
22,29,silt loam,112.0,15.628
23,29,silt loam,168.0,15.107000000000001
24,29,silt loam,280.0,15.584000000000001
25,51,silt loam,0.0,4.157
26,51,silt loam,178.4306584,6.71
27,51,silt loam,35.68613168,5.037
28,51,silt loam,62.45073044,5.989
29,51,silt loam,89.21532921,5.443
30,51,silt loam,115.979928,5.6370000000000005
31,51,silt loam,142.7445267,6.434
32,51,silt loam,169.50912549999998,6.5
33,51,silt loam,196.2737243,6.599
34,53,silty clay loam,0.0,8.14
35,53,silty clay loam,178.4306584,10.972999999999999
36,53,silty clay loam,35.68613168,9.076
37,53,silty clay loam,62.45073044,9.977
38,53,silty clay loam,89.21532921,10.279000000000002
39,53,silty clay loam,115.979928,10.208
40,53,silty clay loam,142.7445267,10.497
41,53,silty clay loam,169.50912549999998,10.703
42,53,silty clay loam,196.2737243,10.427
43,54,silt loam,0.0,10.334000000000001
44,54,silt loam,178.4306584,11.482999999999999
45,54,silt loam,35.68613168,12.577
46,54,silt loam,62.45073044,11.779000000000002
47,54,silt loam,89.21532921,11.005
48,54,silt loam,115.979928,13.25
49,54,silt loam,142.7445267,12.717
50,54,silt loam,169.50912549999998,13.81
51,54,silt loam,196.2737243,10.857999999999999
52,59,silt loam,0.0,5.7989999999999995
53,59,silt loam,178.4306584,12.697000000000001
54,59,silt loam,35.68613168,7.977
55,59,silt loam,62.45073044,10.342
56,59,silt loam,89.21532921,10.628
57,59,silt loam,115.979928,11.790999999999999
58,59,silt loam,142.7445267,11.54
59,59,silt loam,169.50912549999998,10.727
60,59,silt loam,196.2737243,11.978
61,64,silt loam,0.0,7.557
62,64,silt loam,178.4306584,13.674000000000001
63,64,silt loam,35.68613168,10.288
64,64,silt loam,62.45073044,14.165
65,64,silt loam,89.21532921,12.965
66,64,silt loam,115.979928,15.571
67,64,silt loam,142.7445267,14.850999999999999
68,64,silt loam,169.50912549999998,16.767
69,64,silt loam,196.2737243,15.877
70,106,loam,0.0,5.524
71,106,loam,90.0,8.6
72,106,loam,179.0,10.107000000000001
73,106,loam,269.0,11.237
74,109,loam,0.0,5.837999999999999
75,109,loam,90.0,10.86
76,109,loam,179.0,12.304
77,109,loam,269.0,12.555
78,110,loam,0.0,6.7170000000000005
79,110,loam,90.0,7.784
80,110,loam,179.0,7.659
81,110,loam,269.0,7.47
82,121,silty clay loam,0.0,6.627999999999999
83,121,silty clay loam,90.0,10.981
84,121,silty clay loam,179.0,12.475999999999999
85,121,silty clay loam,269.0,12.606
86,162,silt loam,0.0,3.693
87,162,silt loam,50.0,7.462000000000001
88,162,silt loam,100.0,10.552999999999999
89,162,silt loam,150.0,12.06
90,162,silt loam,200.0,12.085
91,187,loam,0.0,3.9160000000000004
92,187,loam,67.0,7.315
93,187,loam,134.0,9.015
94,187,loam,201.0,8.867
95,187,loam,268.0,9.754
96,208,silty clay loam,0.0,8.524
97,208,silty clay loam,165.0,9.972999999999999
98,208,silty clay loam,330.0,11.105
99,238,sandy loam,0.0,7.1
100,238,sandy loam,134.0,9.8
101,238,sandy loam,202.0,8.5
102,238,sandy loam,269.0,8.0
103,274,clay loam,0.0,13.328
104,274,clay loam,50.0,13.94
105,274,clay loam,50.0,13.815
106,274,clay loam,90.0,14.270999999999999
107,274,clay loam,90.0,14.158
108,274,clay loam,130.0,13.956
109,274,clay loam,130.0,13.91
110,274,clay loam,180.0,13.694
111,274,clay loam,180.0,13.362
112,274,clay loam,300.0,14.142999999999999
113,274,clay loam,300.0,13.106
114,305,loam,0.0,6.781000000000001
115,305,loam,73.0,9.026
116,305,loam,124.0,9.402000000000001
117,305,loam,174.0,10.859000000000002
118,305,loam,224.0,10.407
119,331,silty clay loam,0.0,16.108
120,331,silty clay loam,22.0,15.866
121,331,silty clay loam,45.0,16.25
122,331,silty clay loam,67.0,17.038
123,331,silty clay loam,90.0,16.972
124,331,silty clay loam,179.0,16.423
125,372,silty clay,0.0,9.652999999999999
126,372,silty clay,30.0,10.081
127,372,silty clay,60.0,11.235
128,372,silty clay,90.0,11.640999999999998
129,372,silty clay,130.0,12.402000000000001
130,372,silty clay,200.0,12.412
131,372,silty clay,30.0,10.366
132,372,silty clay,60.0,12.465
133,372,silty clay,90.0,13.103
134,372,silty clay,130.0,13.485999999999999
135,372,silty clay,200.0,13.280999999999999
136,393,loam,0.0,7.277
137,393,loam,45.0,9.834
138,393,loam,89.0,10.561
139,393,loam,134.0,11.662
140,393,loam,179.0,11.865
141,393,loam,224.0,12.349
142,424,loam,0.0,6.664
143,424,loam,190.0,6.516
144,424,loam,224.0,10.825999999999999
145,454,silt loam,0.0,7.909
146,454,silt loam,33.6,8.012
147,454,silt loam,140.0,8.48
148,489,sandy loam,0.0,4.316
149,489,sandy loam,56.0,6.671
150,489,sandy loam,112.0,8.752
151,489,sandy loam,168.0,9.687999999999999
152,489,sandy loam,224.0,8.673
153,489,sandy loam,280.0,9.799
154,489,sandy loam,336.0,10.015
155,554,silty clay loam,0.0,10.722999999999999
156,554,silty clay loam,50.0,12.797
157,554,silty clay loam,101.0,13.023
158,554,silty clay loam,151.0,13.023
159,554,silty clay loam,202.0,13.095999999999998
160,554,silty clay loam,252.0,13.382
161,659,silty clay,0.0,4.329
162,659,silty clay,50.0,7.2620000000000005
163,659,silty clay,101.0,10.315
164,659,silty clay,151.0,11.73
165,659,silty clay,202.0,11.786
166,659,silty clay,252.0,12.321
167,675,silt loam,0.0,6.797999999999999
168,675,silt loam,168.0,12.565
169,675,silt loam,336.0,15.05
170,677,loam,0.0,4.6930000000000005
171,677,loam,168.0,12.507
172,677,loam,336.0,14.547
173,678,silt loam,0.0,8.363999999999999
174,678,silt loam,168.0,13.157
175,678,silt loam,336.0,13.599
176,739,silt loam,0.0,6.068
177,739,silt loam,45.0,6.056
178,739,silt loam,90.0,8.601
179,739,silt loam,134.0,11.338
180,739,silt loam,179.0,10.999
181,739,silt loam,224.0,8.477
182,739,silt loam,269.0,9.35
183,744,silt loam,0.0,2.9
184,744,silt loam,84.0,5.4
185,744,silt loam,168.0,6.6
186,746,silt loam,0.0,2.8
187,746,silt loam,84.0,6.1
188,746,silt loam,168.0,6.9
189,782,loam,0.0,10.837
190,782,loam,46.0,11.474
191,782,loam,92.0,12.207
192,782,loam,138.0,13.227
193,782,loam,184.0,14.183
194,782,loam,230.0,14.183
195,784,silt loam,0.0,6.247000000000001
196,784,silt loam,46.0,6.566
197,784,silt loam,92.0,7.0120000000000005
198,784,silt loam,138.0,6.087999999999999
199,784,silt loam,184.0,6.757000000000001
200,784,silt loam,230.0,6.534
201,787,loam,0.0,9.6
202,787,loam,67.0,12.0
203,787,loam,134.0,12.0
204,787,loam,269.0,13.2
205,790,silty clay loam,0.0,5.7
206,790,silty clay loam,67.0,9.9
207,790,silty clay loam,134.0,11.9
208,790,silty clay loam,269.0,12.2
209,793,silt loam,0.0,12.9
210,793,silt loam,67.0,14.2
211,793,silt loam,134.0,14.3
212,793,silt loam,269.0,14.6
213,801,silty clay loam,0.0,5.6
214,801,silty clay loam,67.0,10.9
215,801,silty clay loam,134.0,12.4
216,801,silty clay loam,269.0,13.3
217,804,silty clay,0.0,8.8
218,804,silty clay,67.0,9.4
219,804,silty clay,134.0,9.7
220,804,silty clay,269.0,9.7
221,807,silty clay loam,0.0,8.7
222,807,silty clay loam,67.0,9.8
223,807,silty clay loam,134.0,9.9
224,807,silty clay loam,269.0,9.9
225,811,silty clay loam,0.0,10.1
226,811,silty clay loam,67.0,12.1
227,811,silty clay loam,134.0,13.1
228,811,silty clay loam,269.0,13.2
229,815,silty clay loam,0.0,13.0
230,815,silty clay loam,67.0,14.0
231,815,silty clay loam,134.0,14.3
232,815,silty clay loam,269.0,14.4
233,817,silty clay loam,0.0,7.165
234,817,silty clay loam,90.0,8.538
235,817,silty clay loam,134.0,8.668
236,817,silty clay loam,179.0,7.83
237,817,silty clay loam,224.0,8.045
238,831,loamy sand,0.0,3.5
239,831,loamy sand,125.0,11.2
240,831,loamy sand,185.0,11.3
241,831,loamy sand,250.0,12.0
242,831,loamy sand,250.0,12.7
243,831,loamy sand,300.0,11.9
244,836,sandy loam,0.0,2.7
245,836,sandy loam,125.0,3.6
246,836,sandy loam,185.0,3.5
247,836,sandy loam,250.0,4.1
248,836,sandy loam,250.0,4.0
249,836,sandy loam,300.0,3.8
250,901,silt loam,0.0,4.197
251,901,silt loam,60.0,8.756
252,901,silt loam,120.0,9.62
253,901,silt loam,180.0,12.265
254,901,silt loam,260.0,12.436
255,902,silt loam,0.0,8.744
256,902,silt loam,70.0,12.692
257,902,silt loam,140.0,14.405999999999999
258,902,silt loam,210.0,11.982999999999999
259,904,loam,0.0,14.914000000000001
260,904,loam,70.0,15.728
261,904,loam,140.0,15.843
262,904,loam,210.0,16.980999999999998
263,906,loam,0.0,13.704
264,906,loam,70.0,15.957
265,906,loam,140.0,16.652
266,906,loam,210.0,18.557000000000002
267,946,silt loam,0.0,4.343999999999999
268,946,silt loam,60.0,7.553999999999999
269,946,silt loam,120.0,10.128
270,946,silt loam,180.0,13.175
271,946,silt loam,240.0,14.501
272,949,silt loam,0.0,10.508
273,949,silt loam,60.0,13.026
274,949,silt loam,120.0,13.549000000000001
275,949,silt loam,180.0,13.205
276,949,silt loam,240.0,13.630999999999998
277,953,silt loam,0.0,11.049000000000001
278,953,silt loam,60.0,10.862
279,953,silt loam,120.0,10.787
280,953,silt loam,180.0,10.569
281,953,silt loam,240.0,11.565
282,957,silt loam,0.0,13.86
283,957,silt loam,60.0,15.38
284,957,silt loam,120.0,16.884
285,957,silt loam,180.0,16.281
286,957,silt loam,240.0,16.163
287,959,silt loam,0.0,12.890999999999998
288,959,silt loam,60.0,15.038
289,959,silt loam,120.0,16.308
290,959,silt loam,180.0,17.208
291,959,silt loam,240.0,16.634
292,961,sandy loam,0.0,11.834000000000001
293,961,sandy loam,60.0,15.703
294,961,sandy loam,120.0,16.249000000000002
295,961,sandy loam,180.0,16.471
296,961,sandy loam,240.0,17.99
297,965,silt loam,0.0,10.296
298,965,silt loam,60.0,12.612
299,965,silt loam,120.0,14.302
300,965,silt loam,180.0,14.347999999999999
301,965,silt loam,240.0,14.949000000000002
302,1033,loam,0.0,4.3
303,1033,loam,101.0,8.1
304,1033,loam,202.0,8.9
305,1093,loam,0.0,8.57
306,1093,loam,34.0,10.88
307,1093,loam,67.0,12.2
308,1093,loam,134.0,12.42
309,1095,loam,0.0,11.93
310,1095,loam,34.0,12.23
311,1095,loam,67.0,13.0
312,1095,loam,134.0,13.58
313,1097,loam,0.0,4.35
314,1097,loam,34.0,5.44
315,1097,loam,67.0,6.67
316,1097,loam,134.0,6.54
317,1102,silt loam,0.0,2.134
318,1102,silt loam,50.0,4.0169999999999995
319,1102,silt loam,100.0,4.143
320,1102,silt loam,150.0,5.084
321,1104,loam,0.0,9.934
322,1104,loam,50.0,12.467
323,1104,loam,100.0,13.638
324,1104,loam,150.0,14.265999999999998
325,1104,loam,200.0,13.724
326,1104,loam,250.0,14.562999999999999
327,1107,clay loam,0.0,5.11
328,1107,clay loam,50.0,6.647
329,1107,clay loam,100.0,11.274000000000001
330,1107,clay loam,150.0,12.113
331,1107,clay loam,200.0,13.093
332,1107,clay loam,250.0,13.706
333,1110,clay,0.0,5.955
334,1110,clay,50.0,6.3260000000000005
335,1110,clay,100.0,9.061
336,1110,clay,150.0,9.725
337,1110,clay,200.0,9.996
338,1110,clay,250.0,9.933
339,1112,clay loam,0.0,5.757000000000001
340,1112,clay loam,50.0,9.919
341,1112,clay loam,100.0,10.193999999999999
342,1112,clay loam,150.0,10.767999999999999
343,1112,clay loam,200.0,10.607000000000001
344,1114,loam,0.0,1.037
345,1114,loam,50.0,2.4459999999999997
346,1114,loam,100.0,5.666
347,1114,loam,150.0,8.342
348,1114,loam,200.0,8.129
349,1115,clay loam,0.0,2.033
350,1115,clay loam,50.0,3.798
351,1115,clay loam,100.0,6.0120000000000005
352,1115,clay loam,150.0,7.1370000000000005
353,1115,clay loam,200.0,8.187999999999999
354,1154,clay,0.0,10.728
355,1154,clay,80.0,10.642999999999999
356,1154,clay,120.0,11.05
357,1154,clay,160.0,5.1610000000000005
358,1154,clay,200.0,9.25
359,1154,clay,240.0,11.792
360,1158,clay loam,0.0,3.0010000000000003
361,1158,clay loam,50.0,5.818
362,1158,clay loam,100.0,5.931
363,1158,clay loam,150.0,6.261
364,1158,clay loam,200.0,0.31
365,1160,clay loam,0.0,2.458
366,1160,clay loam,50.0,4.184
367,1160,clay loam,100.0,5.737
368,1160,clay loam,150.0,6.318
369,1160,clay loam,200.0,0.48100000000000004
370,1164,sandy loam,0.0,1.784
371,1164,sandy loam,50.0,2.265
372,1164,sandy loam,100.0,3.562
373,1164,sandy loam,150.0,4.687
374,1164,sandy loam,200.0,6.83
375,1164,sandy loam,250.0,8.527000000000001
376,1167,silty clay loam,0.0,12.049000000000001
377,1167,silty clay loam,50.0,11.761
378,1167,silty clay loam,100.0,12.624
379,1167,silty clay loam,150.0,4.4
380,1167,silty clay loam,200.0,7.716
381,1167,silty clay loam,250.0,8.119
382,1168,silty clay,0.0,10.404000000000002
383,1168,silty clay,50.0,10.738
384,1168,silty clay,100.0,11.372
385,1168,silty clay,150.0,11.737
386,1168,silty clay,200.0,11.743
387,1168,silty clay,250.0,12.567
388,1170,sandy loam,0.0,9.453
389,1170,sandy loam,50.0,9.318
390,1170,sandy loam,100.0,9.586
391,1170,sandy loam,150.0,7.035
392,1170,sandy loam,200.0,6.045
393,1170,sandy loam,250.0,11.655
394,1181,loamy sand,0.0,3.014
395,1181,loamy sand,45.0,3.0989999999999998
396,1181,loamy sand,90.0,2.608
397,1181,loamy sand,135.0,3.1639999999999997
398,1181,loamy sand,200.0,2.8480000000000003
399,1184,clay loam,0.0,8.176
400,1184,clay loam,45.0,9.918
401,1184,clay loam,90.0,9.869
402,1184,clay loam,135.0,8.776
403,1184,clay loam,200.0,8.965
404,1185,sandy loam,0.0,9.629
405,1185,sandy loam,45.0,10.511
406,1185,sandy loam,90.0,11.394
407,1185,sandy loam,135.0,11.149000000000001
408,1185,sandy loam,200.0,11.42
409,1188,silt loam,0.0,8.258
410,1188,silt loam,45.0,9.224
411,1188,silt loam,90.0,10.334000000000001
412,1188,silt loam,135.0,10.498
413,1188,silt loam,200.0,9.894
